chain_root	chain_shortest	chain_longest	chain_length	language	lang_name	mode_word	word_ipa_len	stability	mode_count	total_extensions	gloss	all_words_json
ki-te-te	ki-te-te	ki-te-te-re-p	4	dra-pro	Proto-Dravidian	jaːh	4	0.7500	3	4		"[""ja\u02d0-"", ""ja\u02d0h"", ""ja\u02d0h"", ""ja\u02d0h""]"
i-na-i-da	i-na-i-da	i-na-i-da-ja-s	4	dra-pro	Proto-Dravidian	jaɳʈ-	4	0.7500	3	4		"[""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""po\u0288\u0288-""]"
u-me-i-ja	u-me-i-ja	u-me-i-ja-sa-u-n	7	dra-pro	Proto-Dravidian	jaɳʈ-	4	0.7143	5	7		"[""ku\u02d0r-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""ja\u0273\u0288-"", ""po\u0288\u0288-"", ""ja\u0273\u0288-""]"
a-na-da	a-na-da	a-na-da-wa-i-ja	6	sem-pro	Proto-Semitic	warx-	4	1.0000	6	6		"[""warx-"", ""warx-"", ""warx-"", ""warx-"", ""warx-"", ""warx-""]"
e-ta-na	e-ta-na	e-ta-na-i-*301-ti-j	6	sem-pro	Proto-Semitic	nuːr-	4	1.0000	6	6		"[""nu\u02d0r-"", ""nu\u02d0r-"", ""nu\u02d0r-"", ""nu\u02d0r-"", ""nu\u02d0r-"", ""nu\u02d0r-""]"
te-i-da	te-i-da	te-i-da-ja-ja	5	sem-pro	Proto-Semitic	muxx-	4	1.0000	5	5		"[""muxx-"", ""muxx-"", ""muxx-"", ""muxx-"", ""muxx-""]"
ke-ta-na	ke-ta-na	ke-ta-na-i-*301-ti	5	sem-pro	Proto-Semitic	ɡadj-	4	1.0000	5	5		"[""\u0261adj-"", ""\u0261adj-"", ""\u0261adj-"", ""\u0261adj-"", ""\u0261adj-""]"
ma-na-da	ma-na-da	ma-na-da-wa-i-j	5	sem-pro	Proto-Semitic	warx-	4	1.0000	5	5		"[""warx-"", ""warx-"", ""warx-"", ""warx-"", ""warx-""]"
na-i-da	na-i-da	na-i-da-ja-s	4	sem-pro	Proto-Semitic	warx-	4	1.0000	4	4		"[""warx-"", ""warx-"", ""warx-"", ""warx-""]"
na-da-wa	na-da-wa	na-da-wa-i-ja	4	sem-pro	Proto-Semitic	warx-	4	1.0000	4	4		"[""warx-"", ""warx-"", ""warx-"", ""warx-""]"
i-na-i-da	i-na-i-da	i-na-i-da-ja-s	4	sem-pro	Proto-Semitic	warx-	4	1.0000	4	4		"[""warx-"", ""warx-"", ""warx-"", ""warx-""]"
e-ka-na	e-ka-na	e-ka-na-si-si-r	6	sem-pro	Proto-Semitic	marʔ	4	0.8333	5	6	man	"[""ma\u02d0j-"", ""mar\u0294"", ""mar\u0294"", ""mar\u0294"", ""mar\u0294"", ""mar\u0294""]"
e-tu-me	e-tu-me	e-tu-me-i-ja-sa	6	sem-pro	Proto-Semitic	ʕaθ̣m-	5	0.8333	5	6		"[""\u0261i\u02d0d"", ""\u0295a\u03b8\u0323m-"", ""\u0295a\u03b8\u0323m-"", ""\u0295a\u03b8\u0323m-"", ""\u0295a\u03b8\u0323m-"", ""\u0295a\u03b8\u0323m-""]"
ja-di-ki	ja-di-ki	ja-di-ki-tu-ja	5	sem-pro	Proto-Semitic	θuːm-	4	0.8000	4	5		"[""\u03b8in-"", ""\u03b8u\u02d0m-"", ""\u03b8u\u02d0m-"", ""\u03b8u\u02d0m-"", ""\u03b8u\u02d0m-""]"
na-da-da	na-da-da	na-da-da-u-ti-n	5	sem-pro	Proto-Semitic	warx-	4	0.8000	4	5		"[""warx-"", ""warx-"", ""warx-"", ""warx-"", ""\u03b8\u0323ahr""]"
sa-ra-ma	sa-ra-ma	sa-ra-ma-na-da	5	sem-pro	Proto-Semitic	ʔarsˤ́-	6	0.8000	4	5		"[""\u0294ars\u02e4\u0301"", ""\u0294ars\u02e4\u0301-"", ""\u0294ars\u02e4\u0301-"", ""\u0294ars\u02e4\u0301-"", ""\u0294ars\u02e4\u0301-""]"
se-ka-na	se-ka-na	se-ka-na-si-si	5	sem-pro	Proto-Semitic	marʔ	4	0.8000	4	5	man	"[""nu\u02d0r-"", ""mar\u0294"", ""mar\u0294"", ""mar\u0294"", ""mar\u0294""]"
*56-e-tu-me	*56-e-tu-me	*56-e-tu-me-i-ja-s	5	sem-pro	Proto-Semitic	ʕaθ̣m-	5	0.8000	4	5		"[""nu\u02d0b"", ""\u0295a\u03b8\u0323m-"", ""\u0295a\u03b8\u0323m-"", ""\u0295a\u03b8\u0323m-"", ""\u0295a\u03b8\u0323m-""]"
nu-*56-e-tu	nu-*56-e-tu	nu-*56-e-tu-me-i-j	5	sem-pro	Proto-Semitic	libb-	4	0.8000	4	5	wiktionary cat	"[""libb-"", ""libb-"", ""libb"", ""libb-"", ""libb-""]"
