# Source: eDiAna Digital Philological-Etymological Dictionary of the Minor Ancient Anatolian Corpus Languages (Lydian)
# URL: https://www.ediana.gwi.uni-muenchen.de/
# License: CC BY-SA 4.0
# Downloaded: 2026-03-26T08:52:56Z
# Script: pillar5/scripts/extract_glosses.py
word	translation	source	source_url
tacd(i)-	pertaining to an offering	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
*karš-	to cut	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
karše-(d)	to cut off	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
qašl(i)-	the one of the rental prices, renter (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
qaša-	fee, rental price (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
niqašla-(d)	to act as the one refraining from renting out (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
niqašl(i)-	the one who does not rent out (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
pimi-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
edkok	in every such way	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
ed(i)-	this/that one	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
uν	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
tutrlo-	pertaining to the daughter (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
tam-	to build	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
šawẽni-(t)	to see, experience	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
lap-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
lapta-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
laptãni-(t)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
murše- (or muršec(i)-)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
wcνaso-(d)	to transgress	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
=in	(particle)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
*as-	(to be) good, dear	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
pin-	to keep giving (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
warptoki-(d)	to attack (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
fẽtwinta-(t)	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
fẽtwinte-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
winta-	bed camp/chamber (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
wãnτa-	(a burial installation) (?)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
ko-(t)	(verb of speaking)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
lita-	(unknown)	eDiAna	https://www.ediana.gwi.uni-muenchen.de/
