# Source: IDS — Intercontinental Dictionary Series, Elamite (contribution 216)
# URL: https://ids.clld.org/contributions/216
# License: CC BY 4.0
# Downloaded: 2026-03-26T08:52:56Z
# Script: pillar5/scripts/extract_glosses.py
word	translation	source	source_url
ši-um-me; šim.e	nose	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
tit; ti-ut	tongue	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
sihhan; si-h-ha	tooth	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ti-pi	neck	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
kir-; kur-; ki-ir-pi; kur-pi	hand	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
pur; pu-ur	fingernail	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
pat; ba-at; pa-at	foot	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
putmaš; pu-ut-ma-áš	feather	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
buni; bu-ni	heart	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ru-el-pa-mín	liver	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ruku; ru-ku	testicle	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
kuši-; ku-ši-in; ku-ši-iš	born (to be)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
du-; du-h; du-iš; duk	conceive	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ta-ak-me; da-ak-ki-me; ta-ak-ki-me	live, living, life	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
halpi-; hal-pi-ik; hal-pi-ip; la-ha-an	die, dead	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ib-ba-ak; šilha-; šil-ha-h; ši-il-ha-ak; ši-il-me	strong, mighty, powerful	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
iš-tuk-ra	weak	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ha-pi	bruise	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
si-it-ti; si-it-me	cure, heal	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
qa-pu-ur	medicine, drug	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ab-be-be	food	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
kura-; ku-ra-at; ku-ra-ak	roast, fry	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
piti; pi-ti	pitcher, jug	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ki-mal-tam	spoon	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
du-šu-um-ya; du-ši-um; du-ši-um-ir-ra	knife (2)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ši-ip-ru-um; ši-ip-ri-um	bread	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
e-ul; u-ma-ma	meal, flour	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
hurpi; hu-ur-pi; zib-ba	fruit	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
pi-ut-	fig	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
šá-ap-pan-na; šap	grape	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
appi; ap-pi	oil	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
abba; ab-ba	grease, fat	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
anzi; an-zí	salt	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
hal -la -ki	honey	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
sir-na	milk (noun)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
pa	cheese	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
an-na-in	fermented drink	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
šá-h-ši-ik-ra	tailor	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
tam-ši-um; ik-tin	cloth	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
tuk-ki-me; tuk-na; im-na	wool	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
zali; za-li	linen, flax	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
qa-li-tam	cotton	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
da-bar-ri-um	felt	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
šá-ir-šá-at-ti	leather	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
kurza-; kur-za-iš; kur-za-qa	weave	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
uk-ku-la-ki	cloak	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
hu-el-ip	coat	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ha-šá-ir	shoe	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
uk-ku.ba-ti	hat, cap	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
kur-ip	glove	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
qa-ar-ra-h; qa-ar-ra-ha	ornament, adornment	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
šà-mi; si-mi-it-tum	ring (for finger)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ah-hu-um; a-h-hu-im	comb	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
hasu; ha-su-ip; mi-ir-ri-h	ointment	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
šu-ha; šu-ha.zi-la	mirror	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
a-a-in; a-hi-in; ha-a-in; a-i-in; a-a-ni	house	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
tu-uš; ulhi; ul-hi; ul-hi	yard, court	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
hu-el; hi-el; el; e-el; e-ul; ú-el; lu-gu-ú	door, gate	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
hal-ti; ha-al-te-te	doorpost, jamb	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ku-un-nir	window	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
te-ip-ta; hu-hu-un	wall	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ku-ra-am-ma; ku-ra-na	stove	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
gi-ut-máš-te; gi-ut-máš-ti	blanket	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
hun; hu-ni-ir; hu-un-pu	lamp, torch	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
a-ri; ku-uk; me-nu-me	roof	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
te-ti	beam	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
šali; ša-li	post, pole	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
šil-tur	board	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
e-ri-en-tum; ú-ri-en-tu; hu-us-si-ip; ú-pa-at	brick	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
hal-la	field (for cultivation)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ya-ad-da	garden	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
āpi-; a-a-pi-h	plow	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
atti; at-ti; šullu; šu-ul-lu	shovel	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
at-ti	hoe	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
par; pa-ar	seed	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
hal-te-me; šu-lu-um	crop, harvest	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
tarmi; tarmu; tar-mi; tar-mu; mu-ša-al-lu	grain (barley, oats etc)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ši-man	wheat	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
kur-ru-sa; nu	barley	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
mi-ik-ki-ma	flower	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
in-na-in; mu-ul-li; mi-el; mi-ul	sap	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
huta-; hu-ud-da; hu-taš; hu-tan-ki; hu-ut-táh; hu-ut-te-eš	do, make	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
rabba-; ra-ab-ba-h; ráb-ba-qa	tie, bind	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
šá-am	rope, cord	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
halpi-; halpu-; hal-pu-h; hal-pi-ya	strike (hit, beat)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
máš-áš; šahši-; šá-h-ši-qa	cut	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ipiš; i-pi-iš; hi-pi-is	ax	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
sa-; sa-h	pull	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
be-la-ti-ra; kiš-ki-ip-man-na	carpenter	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
kuši-; ku-ši-ha; ku-si-iš; ku-ši-ik	build	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
du-li-ib-be	bore	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
el-pi	saw	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
sa-el	hammer	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
sikti; zikti; si-ik-ti; zik-ti-ip	nail	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
kás-zí-ra	smith, blacksmith	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
kassa-; kassi-; kazza-; kazzi-; qa-as-si-it-ri; qa-az-za-ak	forge	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
šari-; ša-ri-h	cast (metals)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
la-an-si-ti-e; la-áš-da	gold	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
lani; la-a-ni	silver	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
e-ri-ni; sa-h; sa-hi-i; si-hi-kak	copper, bronze	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
har-gi; har-ki-an-na	iron	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
ri-kur	lead (noun)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
a-na-ku	tin, tinplate	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
halat; ha-la-at	clay	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
še-ri-it	basket	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
za-ba-ar	rug	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
karsu-; kar-su-iš-da; kar-su-qa	paint (vb)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
mari-; ma-ri-h; ma-ri-en-t	catch (ball)	IDS (Intercontinental Dictionary Series)	https://ids.clld.org/contributions/216
